File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\controller\BeatController.java,57,44,33,1,12,0,1,4,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\controller\BulletController.java,58,45,36,1,13,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\controller\ControllerInterface.java,19,10,9,0,9,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\controller\HeartController.java,51,37,25,1,13,0,1,4,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\main\AllInOneTestDrive.java,27,21,19,0,6,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\main\BulletTestDrive.java,15,11,9,0,4,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\main\DJTestDrive.java,15,11,9,0,4,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\main\HeartTestDrive.java,15,11,9,0,4,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\BeatModel.java,197,148,112,15,40,0,9,13,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\BeatModelInterface.java,34,18,17,0,16,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\BeatObserver.java,6,4,3,0,2,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\BPMObserver.java,6,4,3,0,2,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\BulletAdapter.java,66,48,31,5,18,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\BulletModel.java,198,166,118,28,31,0,1,15,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\BulletModelInterface.java,35,18,17,0,17,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\BulletObserver.java,6,4,3,0,2,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\HeartAdapter.java,70,48,31,5,19,0,3,7,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\HeartModel.java,118,97,70,14,21,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\model\HeartModelInterface.java,20,11,10,0,9,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\view\BeatBar.java,30,25,19,1,5,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\view\BulletView.java,53,45,39,1,8,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\view\DJView.java,197,166,140,8,27,0,4,9,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\main\java\view\Screen.java,47,38,28,1,9,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\test\java\unitTest\TestBeat.java,46,35,26,0,11,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\test\java\unitTest\TestHeart.java,29,21,16,0,8,0,0,0,0,0
C:\Users\bersu\Desktop\IngSoft-2016-NullSoft\src\test\java\unitTest\TestsBullet.java,46,35,26,0,11,0,0,0,0,0
